GROUP,boro,count,rate,date,day
0-17,1,1462,250.72,2020-05-18,1
18-44,1,18728,1784.44,2020-05-18,1
45-64,1,18140,3069.66,2020-05-18,1
65-74,1,7340,3591.19,2020-05-18,1
75+,1,6390,4126.39,2020-05-18,1
0-17,2,1488,421.69,2020-05-18,1
18-44,2,16036,2885.89,2020-05-18,1
45-64,2,16211,4764.83,2020-05-18,1
65-74,2,5007,4908.15,2020-05-18,1
75+,2,4504,5535.82,2020-05-18,1
0-17,3,386,166,2020-05-18,1
18-44,3,8328,1120.22,2020-05-18,1
45-64,3,7765,2022.93,2020-05-18,1
65-74,3,3242,2215.37,2020-05-18,1
75+,3,3900,3182.09,2020-05-18,1
0-17,4,1273,279.79,2020-05-18,1
18-44,4,21607,2521.95,2020-05-18,1
45-64,4,22450,3682.51,2020-05-18,1
65-74,4,6897,3431.53,2020-05-18,1
75+,4,6440,4114.28,2020-05-18,1
0-17,5,379,366.47,2020-05-18,1
18-44,5,5129,3121.46,2020-05-18,1
45-64,5,5012,3814.51,2020-05-18,1
65-74,5,1291,2844.55,2020-05-18,1
75+,5,1150,3631.43,2020-05-18,1
0-17,1,1475,252.95,2020-05-19,2
18-44,1,18798,1791.11,2020-05-19,2
45-64,1,18201,3079.98,2020-05-19,2
65-74,1,7364,3602.93,2020-05-19,2
75+,1,6424,4148.34,2020-05-19,2
0-17,2,1494,423.39,2020-05-19,2
18-44,2,16083,2894.35,2020-05-19,2
45-64,2,16250,4776.29,2020-05-19,2
65-74,2,5018,4918.93,2020-05-19,2
75+,2,4516,5550.57,2020-05-19,2
0-17,3,391,168.15,2020-05-19,2
18-44,3,8351,1123.31,2020-05-19,2
45-64,3,7792,2029.96,2020-05-19,2
65-74,3,3255,2224.26,2020-05-19,2
75+,3,3911,3191.06,2020-05-19,2
0-17,4,1284,282.2,2020-05-19,2
18-44,4,21666,2528.83,2020-05-19,2
45-64,4,22511,3692.52,2020-05-19,2
65-74,4,6911,3438.5,2020-05-19,2
75+,4,6460,4127.06,2020-05-19,2
0-17,5,379,366.47,2020-05-19,2
18-44,5,5137,3126.33,2020-05-19,2
45-64,5,5016,3817.55,2020-05-19,2
65-74,5,1295,2853.37,2020-05-19,2
75+,5,1153,3640.9,2020-05-19,2
0-17,1,1489,255.35,2020-05-20,3
18-44,1,18892,1800.06,2020-05-20,3
45-64,1,18257,3089.46,2020-05-20,3
65-74,1,7386,3613.7,2020-05-20,3
75+,1,6442,4159.97,2020-05-20,3
0-17,2,1504,426.22,2020-05-20,3
18-44,2,16131,2902.98,2020-05-20,3
45-64,2,16302,4791.58,2020-05-20,3
65-74,2,5038,4938.54,2020-05-20,3
75+,2,4527,5564.09,2020-05-20,3
0-17,3,397,170.73,2020-05-20,3
18-44,3,8379,1127.08,2020-05-20,3
45-64,3,7820,2037.25,2020-05-20,3
65-74,3,3276,2238.61,2020-05-20,3
75+,3,3919,3197.59,2020-05-20,3
0-17,4,1299,285.5,2020-05-20,3
18-44,4,21762,2540.04,2020-05-20,3
45-64,4,22595,3706.3,2020-05-20,3
65-74,4,6942,3453.92,2020-05-20,3
75+,4,6485,4143.03,2020-05-20,3
0-17,5,379,366.47,2020-05-20,3
